compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state
CHSP00000001,,366th Medical Group,90 Hope Dr,Mountain Home Afb,ID,83648,0,,,,
CHSP00000003,390163,ACMH Hospital,One Nolte Drive,Kittanning,PA,16201,1,,,,
CHSP00000004,050226,AHMC Anaheim Regional Medical Center,1111 West La Palma Avenue,Anaheim,CA,92801,1,,,,
CHSP00000005,192051,AMG Specialty Hospital - Covington,195 Highland Park Entrance,Covington,LA,70433,0,,,,
CHSP00000006,292007,AMG Specialty Hospital - Las Vegas,4015 Mcleod Drive,Las Vegas,NV,89121,0,,,,
CHSP00000007,152025,AMG Specialty Hospital - Muncie,"2401 West University Avenue, 8th Floor",Muncie,IN,47303,0,HSI00000013,Advocate Health Care,Downers Grove,IL
CHSP00000009,192046,AMG Specialty Hospital Slidell,1400 Lindberg Dr,Slidell,LA,70458,0,,,,
CHSP00000010,322003,AMG Specialty Hospital-Albuquerque,235 Elm Street Ne,Albuquerque,NM,87102,0,,,,
CHSP00000011,192008,AMG Specialty Hospital-Denham Springs,8375 Florida Boulevard,Denham Springs,LA,70726,0,,,,
CHSP00000012,372005,AMG Specialty Hospital-Edmond,1100 East Ninth Street,Edmond,OK,73034,0,,,,
CHSP00000013,192041,AMG Specialty Hospital-Feliciana,9725 Grace Lane,Clinton,LA,70722,0,,,,
CHSP00000014,252010,AMG Specialty Hospital-Greenwood,1401 River Road Floor 2,Greenwood,MS,38930,0,,,,
CHSP00000015,192037,AMG Specialty Hospital-Houma,629 Dunn Street,Houma,LA,70360,0,,,,
CHSP00000016,192029,AMG Specialty Hospital-Lafayette,310 Youngsville Highway,Lafayette,LA,70508,0,,,,
CHSP00000017,372011,AMG Specialty Hospital-Tulsa,"2408 East 81st Street, Suite 2800",Tulsa,OK,74104,0,,,,
CHSP00000018,172003,AMG Specialty Hospital-Wichita,8080 East Pawnee Street,Wichita,KS,67207,0,,,,
CHSP00000019,140122,AMITA Health Adventist Medical Center - Hinsdale,120 North Oak Street,Hinsdale,IL,60521,1,HSI00000010,Adventist Health System,Altamonte Springs,FL
CHSP00000020,140304,AMITA Health Adventist Medical Center Bolingbrook,500 Remington Boulevard,Bolingbrook,IL,60440,1,HSI00000010,Adventist Health System,Altamonte Springs,FL
CHSP00000023,140258,AMITA Health Elk Grove Village,800 Biesterfield Road,Elk Grove Village,IL,60007,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000024,140292,AMITA Health GlenOaks,701 Winthrop Avenue,Glendale Heights,IL,60139,1,HSI00000010,Adventist Health System,Altamonte Springs,FL
CHSP00000025,140290,AMITA Health Hoffman Estates,1555 Barrington Road,Hoffman Estates,IL,60169,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000027,421301,Abbeville Area Medical Center,420 Thomson Circle,Abbeville,SC,29620,1,,,,
CHSP00000028,190034,Abbeville General Hospital,118 North Hospital Drive,Abbeville,LA,70510,1,HSI00000562,Lafayette General Health,Lafayette,LA
CHSP00000029,240057,Abbott Northwestern Hospital,800 East 28th Street,Minneapolis,MN,55407,1,HSI00000029,Allina Health System,Minneapolis,MN
CHSP00000030,454098,Abilene Behavioral Health,4225 Woods Place,Abilene,TX,79602,0,,,,
CHSP00000031,450558,Abilene Regional Medical Center,6250 Us Highway 83,Abilene,TX,79606,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000032,390231,Abington Hospital,1200 Old York Road,Abington,PA,19001,1,HSI00000048,Jefferson Health,Philadelphia,PA
CHSP00000033,390012,Abington-Lansdale Hospital Jefferson Health,100 Medical Campus Drive,Lansdale,PA,19446,1,HSI00000048,Jefferson Health,Philadelphia,PA
CHSP00000034,141322,Abraham Lincoln Memorial Hospital,200 Stahlhut Drive,Lincoln,IL,62656,1,HSI00000648,Memorial Health System,Springfield,IL
CHSP00000036,030094,Abrazo Arrowhead Campus,18701 North 67th Avenue,Glendale,AZ,85308,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000037,030030,Abrazo Central Campus,2000 West Bethany Home Road,Phoenix,AZ,85015,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000038,030001,Abrazo Maryvale Campus,5102 West Campbell Avenue,Phoenix,AZ,85031,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000039,030083,Abrazo Scottsdale Campus,3929 East Bell Road,Phoenix,AZ,85032,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000040,030110,Abrazo West Campus,13677 West Mcdowell Road,Goodyear,AZ,85395,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000041,191322,Abrom Kaplan Memorial Hospital,1310 West Seventh Street,Kaplan,LA,70548,1,HSI00000562,Lafayette General Health,Lafayette,LA
