dgns_cd,description,hccesrdv21,hcc22,hccrxv05,hccesrd,hcc,hccrx,fyear
A0103,Typhoid pneumonia,115,115,,Yes,Yes,No,2018
A0104,Typhoid arthritis,39,39,,Yes,Yes,No,2018
A0105,Typhoid osteomyelitis,39,39,,Yes,Yes,No,2018
A021,Salmonella sepsis,2,2,,Yes,Yes,No,2018
A0222,Salmonella pneumonia,115,115,,Yes,Yes,No,2018
A0223,Salmonella arthritis,39,39,,Yes,Yes,No,2018
A0224,Salmonella osteomyelitis,39,39,,Yes,Yes,No,2018
A065,Amebic lung abscess,115,115,,Yes,Yes,No,2018
A072,Cryptosporidiosis,6,6,5,Yes,Yes,Yes,2018
A202,Pneumonic plague,115,115,,Yes,Yes,No,2018
A207,Septicemic plague,2,2,,Yes,Yes,No,2018
A212,Pulmonary tularemia,115,115,,Yes,Yes,No,2018
A221,Pulmonary anthrax,115,115,,Yes,Yes,No,2018
A227,Anthrax sepsis,2,2,,Yes,Yes,No,2018
A267,Erysipelothrix sepsis,2,2,,Yes,Yes,No,2018
A310,Pulmonary mycobacterial infection,6,6,5,Yes,Yes,Yes,2018
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),6,6,5,Yes,Yes,Yes,2018
A327,Listerial sepsis,2,2,,Yes,Yes,No,2018
A3681,Diphtheritic cardiomyopathy,85,85,186,Yes,Yes,Yes,2018
A3684,Diphtheritic tubulo-interstitial nephropathy,141,,,Yes,No,No,2018
A391,Waterhouse-Friderichsen syndrome,23,23,41,Yes,Yes,Yes,2018
A392,Acute meningococcemia,2,2,,Yes,Yes,No,2018
A393,Chronic meningococcemia,2,2,,Yes,Yes,No,2018
A394,"Meningococcemia, unspecified",2,2,,Yes,Yes,No,2018
A3983,Meningococcal arthritis,39,39,,Yes,Yes,No,2018
A3984,Postmeningococcal arthritis,39,39,,Yes,Yes,No,2018
A400,"Sepsis due to streptococcus, group A",2,2,,Yes,Yes,No,2018
A401,"Sepsis due to streptococcus, group B",2,2,,Yes,Yes,No,2018
A403,Sepsis due to Streptococcus pneumoniae,2,2,,Yes,Yes,No,2018
A408,Other streptococcal sepsis,2,2,,Yes,Yes,No,2018
A409,"Streptococcal sepsis, unspecified",2,2,,Yes,Yes,No,2018
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,2,2,,Yes,Yes,No,2018
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,2,2,,Yes,Yes,No,2018
A411,Sepsis due to other specified staphylococcus,2,2,,Yes,Yes,No,2018
A412,Sepsis due to unspecified staphylococcus,2,2,,Yes,Yes,No,2018
A413,Sepsis due to Hemophilus influenzae,2,2,,Yes,Yes,No,2018
A414,Sepsis due to anaerobes,2,2,,Yes,Yes,No,2018
A4150,"Gram-negative sepsis, unspecified",2,2,,Yes,Yes,No,2018
A4151,Sepsis due to Escherichia coli [E. coli],2,2,,Yes,Yes,No,2018
A4152,Sepsis due to Pseudomonas,2,2,,Yes,Yes,No,2018
A4153,Sepsis due to Serratia,2,2,,Yes,Yes,No,2018
A4159,Other Gram-negative sepsis,2,2,,Yes,Yes,No,2018
