icd9cm,icd10cm,icd9_description,icd10_description,Pop number,acs,acs_ip_12,herniated_disc,mononeuritis,malignancy,sinusitis,CHF,AF_flutter,syncope_heat,syncope_carotid_sinus,traumatic_brain_injury,prostate_ca,low_back_pain,pop_41,pop_43,breast_cancer,allergy,acute_sinusitis,chronic_sinusitis,pop49,trauma,intraspinal_abcess,pop51,cervical_cancer,prostate_cancer
4111,I200,Intermediate coronary syndrome,Unstable angina,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,I200,Intermediate coronary syndrome,Unstable angina,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41000,I2109,"Acute myocardial infarction of anterolateral wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41000,I2109,"Acute myocardial infarction of anterolateral wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41001,I2109,"Acute myocardial infarction of anterolateral wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41001,I2109,"Acute myocardial infarction of anterolateral wall, initial episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41002,I2109,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41002,I2109,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41010,I2109,"Acute myocardial infarction of other anterior wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41010,I2109,"Acute myocardial infarction of other anterior wall, episode of care unspecified",ST elevation (STEMI) myocardial infarction involving other cor,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
